Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Leicester,0,0,3,3,1,0,Win,A Taylor,5.75,4.0,1.65,5.25,3.8,1.67
Watford,1,2,0,2,2,0,Win,R Madley,1.25,6.5,14.0,1.25,6.25,11.5
Bournemouth,1,1,1,0,0,0,Draw,K Friend,1.25,6.5,15.0,1.25,6.0,12.0
Middlesbrough,0,1,3,2,1,0,Win,J Moss,6.0,3.7,1.7,5.75,3.7,1.65
West Brom,1,0,0,0,0,0,Draw,M Dean,1.36,5.0,11.0,1.36,5.0,8.5
Everton,1,1,1,0,0,0,Draw,N Swarbrick,1.57,4.2,6.5,1.55,4.0,6.5
Sunderland,0,0,3,3,1,0,Win,C Pawson,10.0,5.25,1.36,9.0,5.0,1.35
Chelsea,1,2,0,2,2,0,Win,R Madley,2.55,3.2,2.8,2.6,3.1,2.75
Burnley,0,0,2,2,3,1,Win,A Taylor,5.75,4.0,1.67,5.25,3.9,1.65
Man City,0,0,0,0,0,0,Draw,M Atkinson,1.91,3.75,4.2,1.87,3.75,4.0
Swansea,1,1,1,0,0,0,Draw,N Swarbrick,1.36,4.75,8.0,1.33,4.75,9.0
Arsenal,0,2,0,-2,0,0,Loss,A Marriner,1.91,3.7,4.33,1.85,3.7,4.25
Tottenham,0,2,1,-1,0,0,Loss,J Moss,1.73,3.9,5.25,1.67,4.0,5.0
Southampton,0,0,0,0,0,0,Draw,M Dean,2.75,3.3,2.8,2.65,3.3,2.7
Crystal Palace,1,2,0,2,1,0,Win,A Taylor,2.5,3.3,3.1,2.45,3.4,2.9
Leeds,1,5,1,4,1,0,Win,P Tierney,1.53,4.5,5.75,1.53,4.5,5.75
