Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Newcastle,1,1,0,1,1,0,Win,P Bankes,1.95,3.4,4.2,1.91,3.3,4.4
Brighton,0,0,1,1,2,0,Win,M Atkinson,2.05,3.25,3.9,2.05,3.2,4.0
Watford,1,1,0,1,3,1,Win,A Taylor,2.55,3.2,2.9,2.6,3.2,2.85
Bournemouth,0,0,2,2,4,1,Win,S Attwell,2.45,3.2,3.0,2.45,3.3,2.95
Liverpool,0,4,0,-4,0,0,Loss,M Atkinson,1.22,6.5,13.0,1.22,6.25,14.0
Burnley,1,0,1,-1,0,0,Loss,S Hooper,2.25,3.2,3.4,2.25,3.2,3.4
Leicester,0,3,0,-3,0,0,Loss,J Moss,1.66,3.6,5.75,1.65,3.6,6.0
Chelsea,1,2,3,-1,0,0,Loss,D Coote,8.5,4.5,1.4,8.0,4.5,1.42
Aston Villa,0,2,0,-2,0,0,Loss,M Atkinson,2.25,3.3,3.3,2.25,3.3,3.3
Man United,1,0,2,-2,0,0,Loss,G Scott,9.5,4.75,1.36,9.25,4.75,1.36
Wolves,0,2,0,-2,0,0,Loss,P Bankes,1.5,4.0,7.5,1.5,3.9,7.75
Tottenham,1,1,1,0,0,0,Draw,A Marriner,6.0,4.2,1.55,6.0,4.2,1.55
West Brom,1,0,1,-1,0,0,Loss,C Pawson,2.0,3.3,4.5,2.0,3.2,3.9
Tottenham,0,1,0,-1,0,0,Loss,M Oliver,1.45,4.75,8.0,1.44,4.5,7.75
Bournemouth,1,1,1,0,0,0,Draw,M Dean,2.3,3.2,3.3,2.35,3.2,3.2
Middlesbrough,0,1,2,1,1,0,Win,N Swarbrick,2.3,3.2,3.6,2.2,3.2,3.5
Stoke,1,4,1,3,2,0,Win,C Pawson,2.0,3.5,4.2,2.0,3.4,3.9
Sunderland,0,2,3,1,3,1,Win,A Taylor,2.88,3.25,2.7,2.8,3.2,2.6
Everton,0,1,1,0,0,0,Draw,J Moss,1.73,4.0,5.0,1.72,3.75,5.0
West Ham,1,0,1,-1,0,0,Loss,M Atkinson,2.15,3.5,3.6,2.0,3.5,3.75
Leicester,0,3,1,-2,0,0,Loss,M Oliver,2.05,3.5,3.9,2.05,3.4,3.7
Liverpool,1,2,4,-2,0,0,Loss,A Marriner,5.25,4.0,1.7,5.0,4.0,1.72
Burnley,0,3,2,-1,0,0,Loss,A Taylor,3.3,3.3,2.38,3.2,3.25,2.35
Man City,1,1,2,-1,0,0,Loss,R Madley,6.5,4.5,1.53,6.25,4.4,1.5
Swansea,0,5,4,-1,0,0,Loss,K Friend,2.63,3.4,2.88,2.55,3.2,2.9
Southampton,1,3,0,3,1,0,Win,N Swarbrick,3.5,3.3,2.3,3.2,3.4,2.25
Hull,0,3,3,0,0,0,Draw,M Jones,3.5,3.3,2.3,3.3,3.25,2.3
Man United,1,1,2,-1,0,0,Loss,C Pawson,5.25,4.0,1.7,5.5,3.8,1.65
Chelsea,1,0,1,-1,0,0,Loss,J Moss,6.5,4.2,1.57,6.0,4.1,1.57
Watford,0,1,1,0,0,0,Draw,M Clattenburg,2.5,3.3,2.9,2.4,3.2,2.9
Arsenal,0,2,0,-2,0,0,Loss,A Marriner,1.29,5.5,9.5,1.3,5.5,9.75
Swansea,1,1,2,-1,0,0,Loss,P Tierney,1.75,3.5,4.75,1.78,3.6,4.75
West Ham,0,3,0,-3,0,0,Loss,N Swarbrick,2.38,3.4,3.2,2.35,3.3,3.1
Everton,1,0,1,-1,0,0,Loss,A Taylor,3.25,3.4,2.38,3.0,3.4,2.35
Bournemouth,0,0,2,2,1,0,Win,J Moss,2.05,3.5,3.9,2.05,3.4,3.75
Sunderland,1,0,4,-4,0,0,Loss,A Marriner,1.7,3.9,5.5,1.67,3.8,5.25
Stoke,0,1,0,-1,0,0,Loss,M Atkinson,2.15,3.3,3.9,2.05,3.3,3.9
Middlesbrough,1,1,0,1,1,0,Win,R Madley,2.1,3.2,4.2,2.1,3.2,3.9
West Brom,0,0,2,2,2,0,Win,M Jones,2.2,3.3,3.8,2.2,3.1,3.6
Watford,1,1,0,1,3,1,Win,M Atkinson,1.91,3.5,4.75,1.9,3.5,4.2
Chelsea,0,1,2,1,4,1,Win,C Pawson,1.3,5.75,12.0,1.26,5.75,11.5
Southampton,0,3,1,-2,0,0,Loss,R East,1.83,3.7,4.75,1.8,3.5,4.75
Arsenal,1,3,0,3,1,0,Win,M Oliver,4.5,3.9,1.83,4.6,3.8,1.75
Leicester,1,2,2,0,0,0,Draw,M Dean,1.73,3.6,4.75,1.8,3.5,4.4
Liverpool,0,1,2,1,1,0,Win,A Marriner,1.5,4.75,7.0,1.48,4.33,7.0
Tottenham,1,0,1,-1,0,0,Loss,J Moss,5.5,4.2,1.65,5.25,4.1,1.62
Burnley,1,0,2,-2,0,0,Loss,R Madley,1.75,3.5,4.75,1.75,3.5,4.75
Man City,0,5,0,-5,0,0,Loss,M Oliver,1.29,6.5,11.0,1.28,6.25,9.5
