Opponent,HomeBool,FTHG,FTAG,ScoreDiff,WinStreak,TGS,Results,Referee,B365H,B365D,B365A,BWH,BWD,BWA
Swansea,0,3,1,-2,0,0,Loss,L Mason,7.0,4.59,1.5,6.5,4.33,1.5
Everton,1,5,1,4,1,0,Win,N Swarbrick,1.3,5.75,12.0,1.3,5.25,10.5
Tottenham,0,1,0,-1,0,0,Loss,A Taylor,2.0,3.6,3.5,1.95,3.8,3.6
Man City,1,0,3,-3,0,0,Loss,A Marriner,4.5,4.0,1.72,4.4,3.8,1.78
Brighton,0,2,1,-1,0,0,Loss,S Attwell,4.2,3.79,1.9,4.1,3.7,1.85
Watford,1,3,0,3,1,0,Win,M Atkinson,1.44,5.0,7.5,1.5,4.4,6.25
Stoke,1,3,0,3,2,0,Win,C Pawson,1.28,5.5,10.0,1.3,5.5,9.75
Southampton,1,3,2,1,3,1,Win,A Marriner,1.57,4.5,6.0,1.53,4.4,6.0
Newcastle,0,2,1,-1,0,0,Loss,A Taylor,3.29,3.6,2.25,3.1,3.6,2.2
West Ham,1,4,1,3,1,0,Win,L Mason,1.55,4.59,6.0,1.53,4.5,5.75
Man United,0,2,1,-1,0,0,Loss,K Friend,1.44,4.75,8.0,1.44,4.5,7.5
Burnley,1,5,0,5,1,0,Win,A Marriner,1.57,4.2,6.5,1.53,4.2,6.25
Leicester,0,3,1,-2,0,0,Loss,G Scott,3.75,3.79,2.0,3.6,3.8,1.95
Huddersfield,0,0,1,1,1,0,Win,M Oliver,6.0,4.33,1.6,5.5,4.33,1.57
Man City,1,0,2,-2,0,0,Loss,M Oliver,4.0,3.8,1.95,3.7,3.75,1.95
Chelsea,0,3,2,-1,0,0,Loss,M Atkinson,1.8,4.0,4.5,1.78,3.8,4.5
West Ham,1,3,1,2,1,0,Win,G Scott,1.36,5.5,9.0,1.36,5.25,7.75
Cardiff,0,2,3,1,2,0,Win,A Taylor,6.5,4.33,1.57,6.0,4.0,1.57
Newcastle,0,1,2,1,3,1,Win,L Probert,4.2,3.8,1.9,4.0,3.6,1.91
Everton,1,2,0,2,4,1,Win,J Moss,1.44,5.0,7.5,1.48,4.6,6.5
Watford,1,2,0,2,5,1,Win,A Taylor,1.44,5.1,7.0,1.45,4.75,6.5
Fulham,0,1,5,4,6,1,Win,P Tierney,5.25,4.33,1.66,5.0,4.33,1.62
Leicester,1,3,1,2,7,1,Win,C Kavanagh,1.53,4.5,6.5,1.5,4.33,6.5
Crystal Palace,0,2,2,0,0,0,Draw,M Atkinson,4.75,4.1,1.75,4.33,3.9,1.78
Liverpool,1,1,1,0,0,0,Draw,A Marriner,3.9,3.9,1.95,3.5,3.75,2.0
Wolves,1,1,1,0,0,0,Draw,S Attwell,1.66,4.2,5.25,1.6,4.1,5.5
Bournemouth,0,1,2,1,1,0,Win,C Pawson,3.5,3.75,1.95,3.5,3.75,2.0
Tottenham,1,4,2,2,2,0,Win,M Dean,2.62,3.6,2.75,2.5,3.6,2.7
Man United,0,2,2,0,0,0,Draw,A Marriner,2.45,3.5,3.0,2.3,3.6,2.95
Huddersfield,1,1,0,1,1,0,Win,P Tierney,1.28,6.0,12.0,1.28,5.75,10.5
Southampton,0,3,2,-1,0,0,Loss,C Kavanagh,4.1,3.9,1.9,4.0,3.7,1.9
Burnley,1,3,1,2,1,0,Win,K Friend,1.25,6.5,15.0,1.22,6.25,13.5
Brighton,0,1,1,0,0,0,Draw,A Taylor,5.25,3.9,1.72,5.25,3.9,1.67
Liverpool,0,5,1,-4,0,0,Loss,M Oliver,1.5,4.5,5.75,1.5,4.6,6.0
Fulham,1,4,1,3,1,0,Win,G Scott,1.33,5.75,9.5,1.33,5.5,8.75
West Ham,0,1,0,-1,0,0,Loss,J Moss,3.5,4.0,2.05,3.5,3.75,2.0
Chelsea,1,2,0,2,1,0,Win,A Taylor,3.1,3.6,2.37,3.0,3.5,2.3
Cardiff,1,2,1,1,2,0,Win,M Dean,1.22,7.0,15.0,1.25,6.5,11.5
Man City,0,3,1,-2,0,0,Loss,M Atkinson,1.33,6.0,9.0,1.3,6.0,8.75
Huddersfield,0,1,2,1,1,0,Win,J Moss,5.75,4.4,1.6,5.5,4.1,1.6
Southampton,1,2,0,2,2,0,Win,G Scott,1.5,4.75,7.0,1.45,4.5,7.0
Bournemouth,1,5,1,4,3,1,Win,C Kavanagh,1.44,5.0,7.5,1.44,4.75,7.0
Tottenham,0,1,1,0,0,0,Draw,A Taylor,2.05,3.7,3.75,2.05,3.4,3.75
Man United,1,2,0,2,1,0,Win,J Moss,2.4,3.6,3.0,2.35,3.5,2.95
Newcastle,1,2,0,2,2,0,Win,A Taylor,1.36,5.25,9.5,1.36,5.0,8.5
Everton,0,1,0,-1,0,0,Loss,K Friend,3.0,3.75,2.35,3.1,3.6,2.2
Watford,0,0,1,1,1,0,Win,C Pawson,3.2,3.75,2.25,3.1,3.6,2.2
Crystal Palace,1,2,3,-1,0,0,Loss,J Moss,1.53,4.6,6.5,1.53,4.5,5.75
